angle_deg,rate_noise,capacity,median_gain_latent_db,min,max,seed_spread_db,inconclusive
60,0.2,linear,0.7916147541598679,0.724415736044417,1.023208864837624,0.2987931287932071,False
60,0.2,h=4,0.996711455604272,0.9284808304011403,1.0126026716044407,0.08412184120330046,False
60,0.2,h=16,0.7620914582670437,0.6037223564150143,0.9302075975108259,0.3264852410958117,False
60,0.2,h=64,0.6214387707210172,0.5016016601299818,0.9188070449270622,0.41720538479708047,True
60,0.5,linear,0.8105412849664742,0.7517717717736563,1.057035316738201,0.30526354496454466,True
60,0.5,h=4,0.9931435022831394,0.7498926367633381,0.9933730257778439,0.24348038901450586,False
60,0.5,h=16,0.814706765067891,0.7228947808214965,0.8211429563535297,0.09824817553203324,False
60,0.5,h=64,0.7443369500479484,0.7080871282598409,0.9206010117877899,0.21251388352794898,False
60,1.0,linear,0.9908711104425993,0.9330574778280774,1.0424503899183986,0.1093929120903212,False
60,1.0,h=4,0.9256860883231557,0.7621718995043558,0.9338808310136404,0.17170893150928457,False
60,1.0,h=16,0.9625619287069718,0.9580790593583792,0.9700119674698175,0.011932908111438323,False
60,1.0,h=64,1.1145320432199775,1.0764085595086428,1.2794403278647835,0.20303176835614067,True
200,0.2,linear,3.825089784064442,3.4745418624839832,4.0747490511911,0.6002071887071168,False
200,0.2,h=4,3.485429185016109,2.7745580244308456,3.6759419083844396,0.9013838839535939,False
200,0.2,h=16,3.3687988390825367,2.5143580633195093,3.3981998186501343,0.883841755330625,False
200,0.2,h=64,2.681140269919476,2.4397881577961833,3.11154146472318,0.6717533069269965,False
200,0.5,linear,3.8340187512728434,3.492402308811231,4.075407818806184,0.5830055099949529,False
200,0.5,h=4,3.235169159757163,2.8104350351824756,3.701689882545338,0.8912548473628625,False
200,0.5,h=16,2.534711045552182,2.3849809459432354,2.8342672361990644,0.449286290255829,False
200,0.5,h=64,2.1219710709400044,1.792541742841557,2.283698326637312,0.491156583795755,False
200,1.0,linear,3.903303646269862,3.508817922628019,4.037621464382475,0.5288035417544563,False
200,1.0,h=4,3.7814570633482134,3.740504172462405,5.349191479355888,1.6086873068934828,False
200,1.0,h=16,4.80729129049706,4.721477957341037,5.079644880658245,0.35816692331720823,False
200,1.0,h=64,5.862998493257448,5.038988417398556,5.875899104111545,0.8369106867129883,False
340,0.2,linear,3.501707549177244,3.4512313878004797,3.56438760695195,0.11315621915147034,False
340,0.2,h=4,3.573234627493399,3.5690720394342623,3.6218089081855442,0.05273686875128192,False
340,0.2,h=16,3.5383725378627027,3.472178013537361,3.5709283936481953,0.09875038011083426,False
340,0.2,h=64,3.3798614169044363,3.3112920255604195,3.4502476534425774,0.13895562788215798,False
340,0.5,linear,3.4911062004242,3.4512804569062574,3.5651275444368444,0.11384708753058703,False
340,0.5,h=4,3.6117701285303276,3.590345491655931,3.6175325452271867,0.027187053571255504,False
340,0.5,h=16,3.6075447587409606,3.5796041304238475,3.6234915557027794,0.04388742527893186,False
340,0.5,h=64,3.540142809467735,3.408204433183979,3.5927205327409233,0.18451609955694437,True
340,1.0,linear,3.4986102085689943,3.451586443234156,3.569607806397231,0.11802136316307532,False
340,1.0,h=4,4.694860651335016,3.923723766083544,4.930143780897751,1.006420014814207,False
340,1.0,h=16,4.716822636715605,4.52547591398025,4.868514558021369,0.34303864404111906,False
340,1.0,h=64,5.169459280005034,5.122013672085638,5.173048343073104,0.05103467098746606,False
