encoder,bits,perp_scale,sqnr_sq_latent_db,sqnr_vq_latent_db,gain_latent_db,sqnr_sq_signal_db,sqnr_vq_signal_db,gain_signal_db,strand_crossing_frac
none,[2; 2],None,13.163791324137158,16.454004497551217,3.2902131734140596,13.163791324137158,16.454004497551217,3.2902131734140596,0.0
seam,[4; 0],None,23.880857139803506,23.8816115368962,0.0007543970926953136,16.44129670347974,16.44291055366936,0.0016138501896207913,0.0
fold (matched),[2; 2],2.5464790894703255,12.545416119896707,12.713185838225971,0.16776971832926435,11.893392440378644,11.657064602002468,-0.23632783837617666,0.0515
fold (compressed),[2; 2],1.0,14.487164983808249,14.91907432063051,0.43190933682226174,15.711397307929811,15.054175417668464,-0.6572218902613471,0.0
